Image_ID,Image_Name,confidence,ymin,xmin,ymax,xmax,class,similarity
image_0000,image_0000-0.png,0.9221810698509216,0.6444444444444445,0.13828125,0.7763888888888889,0.21953125,0,0.783
image_0000,image_0000-1.png,0.9166976809501648,0.6694444444444444,0.4578125,0.8013888888888889,0.54296875,0,0.783
image_0000,image_0000-2.png,0.8984217643737793,0.6347222222222222,0.246875,0.7805555555555556,0.33359375,0,0.7827
image_0001,image_0001-0.png,0.8962817192077637,0.7319444444444444,0.153125,0.8819444444444444,0.26484375,1,0.8076
image_0001,image_0001-1.png,0.8904240727424622,0.5972222222222222,0.3875,0.9458333333333332,0.52265625,1,0.8174
image_0001,image_0001-2.png,0.8828364610671997,0.7458333333333333,0.69453125,0.8777777777777778,0.81484375,1,0.806
image_0002,image_0002-0.png,0.9119783043861388,0.6986111111111111,0.33046875,0.8569444444444444,0.44765625,0,0.756
image_0002,image_0002-1.png,0.8994609117507935,0.7055555555555556,0.56328125,0.8916666666666667,0.6625,0,0.7812
image_0002,image_0002-2.png,0.8888317942619324,0.7222222222222222,0.746875,0.8694444444444445,0.871875,1,0.832
image_0003,image_0003-0.png,0.9131702184677124,0.6402777777777777,0.69140625,0.925,0.85703125,0,0.788
image_0003,image_0003-1.png,0.909856617450714,0.6819444444444445,0.52421875,0.8902777777777777,0.6140625,1,0.83
image_0003,image_0003-2.png,0.8878752589225769,0.7402777777777778,0.309375,0.9097222222222222,0.44140625,0,0.7803
image_0004,image_0004-0.png,0.9045379161834716,0.6791666666666667,0.61484375,0.8263888888888888,0.7125,0,0.757
image_0005,image_0005-0.png,0.8689063787460327,0.6430555555555556,0.69296875,0.8166666666666667,0.77265625,1,0.7993
image_0005,image_0005-1.png,0.8643245697021484,0.6708333333333333,0.14453125,0.8416666666666667,0.2546875,1,0.8
image_0005,image_0005-2.png,0.6874092817306519,0.6875,0.4,0.8319444444444445,0.528125,1,0.8164
image_0006,image_0006-0.png,0.9215429425239564,0.6625,0.509375,0.8222222222222222,0.6515625,0,0.792
image_0006,image_0006-1.png,0.90871399641037,0.7041666666666667,0.8546875,0.8166666666666667,0.94296875,0,0.7803
image_0007,image_0007-0.png,0.913435399532318,0.6263888888888889,0.55546875,0.7638888888888888,0.6171875,1,0.8
image_0008,image_0008-0.png,0.9042561650276184,0.6944444444444444,0.7234375,0.8166666666666667,0.80859375,0,0.7686
image_0009,image_0009-0.png,0.9135459065437316,0.6347222222222222,0.70625,0.8472222222222222,0.825,0,0.758
image_0009,image_0009-1.png,0.8851507306098938,0.6597222222222222,0.34296875,0.8555555555555555,0.415625,0,0.791
image_0010,image_0010-0.png,0.9110760688781738,0.6847222222222222,0.2609375,0.8277777777777777,0.33984375,0,0.782
image_0010,image_0010-1.png,0.8971682190895081,0.6541666666666667,0.59296875,0.8236111111111111,0.75625,0,0.786
image_0011,image_0011-0.png,0.8965480923652649,0.6791666666666667,0.10078125,0.8125,0.21640625,1,0.8057
image_0012,image_0012-0.png,0.88288414478302,0.6652777777777777,0.39296875,0.7875,0.47109375,1,0.8237
image_0012,image_0012-1.png,0.8610272407531738,0.6805555555555556,0.62265625,0.7986111111111112,0.68828125,1,0.8096
image_0013,image_0013-0.png,0.9094266891479492,0.6083333333333333,0.446875,0.7555555555555555,0.57109375,0,0.7847
image_0013,image_0013-1.png,0.9083261489868164,0.6486111111111111,0.68984375,0.7555555555555555,0.771875,0,0.7637
image_0013,image_0013-2.png,0.8966373205184937,0.6444444444444445,0.3015625,0.7430555555555556,0.3875,1,0.823
image_0014,image_0014-0.png,0.905125379562378,0.6527777777777778,0.053125,0.7569444444444444,0.1296875,0,0.7734
image_0014,image_0014-1.png,0.8678425550460815,0.6291666666666667,0.35,0.7652777777777777,0.40078125,1,0.8174
image_0015,image_0015-0.png,0.909748375415802,0.6625,0.5859375,0.7847222222222222,0.64296875,0,0.793
image_0015,image_0015-1.png,0.9074856638908386,0.6777777777777778,0.71015625,0.7958333333333333,0.8109375,0,0.765
image_0015,image_0015-2.png,0.8849917650222778,0.6194444444444445,0.38671875,0.7791666666666667,0.51796875,0,0.7646
image_0016,image_0016-0.png,0.9223848581314088,0.6138888888888889,0.45703125,0.7930555555555555,0.584375,0,0.793
